Teste,Tamanho,Real,User,Sys
123,1024,0m0.001s,0m0.000s,0m0.001s
124,1024,0m0.001s,0m0.000s,0m0.000s
125,1024,0m0.001s,0m0.000s,0m0.000s
126,1024,0m0.001s,0m0.001s,0m0.000s
127,1024,0m0.001s,0m0.001s,0m0.000s
128,1024,0m0.001s,0m0.001s,0m0.000s
129,1024,0m0.001s,0m0.000s,0m0.001s
130,1024,0m0.001s,0m0.001s,0m0.000s
131,1024,0m0.001s,0m0.000s,0m0.000s
132,1024,0m0.001s,0m0.001s,0m0.000s
133,1024,0m0.001s,0m0.000s,0m0.001s
134,1024,0m0.001s,0m0.001s,0m0.000s
135,1024,0m0.001s,0m0.000s,0m0.000s
136,1024,0m0.001s,0m0.001s,0m0.000s
137,1024,0m0.001s,0m0.001s,0m0.000s
138,1024,0m0.001s,0m0.001s,0m0.000s
139,1024,0m0.001s,0m0.001s,0m0.000s
140,1024,0m0.001s,0m0.001s,0m0.000s
141,1024,0m0.001s,0m0.001s,0m0.000s
142,1024,0m0.001s,0m0.001s,0m0.000s
143,1024,0m0.001s,0m0.000s,0m0.000s
144,1024,0m0.001s,0m0.001s,0m0.000s
145,1024,0m0.001s,0m0.001s,0m0.000s
146,1024,0m0.001s,0m0.001s,0m0.000s
147,1024,0m0.001s,0m0.001s,0m0.000s
148,1024,0m0.001s,0m0.001s,0m0.000s
149,1024,0m0.001s,0m0.001s,0m0.000s
150,1024,0m0.001s,0m0.001s,0m0.000s
151,1024,0m0.001s,0m0.001s,0m0.000s
152,1024,0m0.001s,0m0.001s,0m0.000s
153,1024,0m0.001s,0m0.001s,0m0.000s
154,1024,0m0.000s,0m0.000s,0m0.000s
155,1024,0m0.001s,0m0.001s,0m0.000s
156,1024,0m0.001s,0m0.001s,0m0.000s
157,1024,0m0.001s,0m0.000s,0m0.001s
158,1024,0m0.001s,0m0.001s,0m0.000s
159,1024,0m0.001s,0m0.001s,0m0.000s
160,1024,0m0.001s,0m0.001s,0m0.000s
161,1024,0m0.001s,0m0.001s,0m0.000s
162,1024,0m0.001s,0m0.001s,0m0.000s
163,1024,0m0.001s,0m0.001s,0m0.000s
164,1024,0m0.001s,0m0.001s,0m0.000s
165,1024,0m0.001s,0m0.001s,0m0.000s
166,1024,0m0.001s,0m0.001s,0m0.000s
167,1024,0m0.001s,0m0.001s,0m0.000s
168,1024,0m0.001s,0m0.001s,0m0.000s
169,1024,0m0.001s,0m0.001s,0m0.000s
170,1024,0m0.001s,0m0.001s,0m0.000s
171,1024,0m0.001s,0m0.001s,0m0.000s
172,1024,0m0.001s,0m0.001s,0m0.000s
173,1024,0m0.001s,0m0.001s,0m0.000s
174,1024,0m0.001s,0m0.001s,0m0.000s
175,1024,0m0.001s,0m0.000s,0m0.000s
176,1024,0m0.001s,0m0.001s,0m0.000s
177,1024,0m0.001s,0m0.001s,0m0.000s
178,1024,0m0.001s,0m0.001s,0m0.000s
179,1024,0m0.001s,0m0.001s,0m0.000s
180,1024,0m0.001s,0m0.001s,0m0.000s
181,1024,0m0.001s,0m0.001s,0m0.000s
182,1024,0m0.001s,0m0.000s,0m0.001s
183,1024,0m0.001s,0m0.001s,0m0.000s
184,1024,0m0.003s,0m0.003s,0m0.001s
185,1024,0m0.001s,0m0.001s,0m0.000s
186,1024,0m0.001s,0m0.000s,0m0.000s
187,1024,0m0.001s,0m0.001s,0m0.000s
188,1024,0m0.001s,0m0.001s,0m0.000s
189,1024,0m0.001s,0m0.001s,0m0.000s
190,1024,0m0.001s,0m0.000s,0m0.000s
191,1024,0m0.001s,0m0.001s,0m0.000s
192,1024,0m0.001s,0m0.001s,0m0.000s
193,1024,0m0.001s,0m0.001s,0m0.000s
194,1024,0m0.001s,0m0.001s,0m0.000s
195,1024,0m0.001s,0m0.001s,0m0.000s
196,1024,0m0.001s,0m0.001s,0m0.000s
197,1024,0m0.001s,0m0.001s,0m0.000s
198,1024,0m0.001s,0m0.001s,0m0.000s
199,1024,0m0.001s,0m0.001s,0m0.000s
200,1024,0m0.001s,0m0.001s,0m0.000s
201,1024,0m0.001s,0m0.001s,0m0.000s
202,1024,0m0.001s,0m0.001s,0m0.000s
203,1024,0m0.001s,0m0.000s,0m0.001s
204,1024,0m0.001s,0m0.000s,0m0.001s
205,1024,0m0.001s,0m0.001s,0m0.000s
206,1024,0m0.001s,0m0.000s,0m0.001s
207,1024,0m0.001s,0m0.001s,0m0.000s
208,1024,0m0.001s,0m0.001s,0m0.000s
209,1024,0m0.001s,0m0.001s,0m0.000s
210,1024,0m0.001s,0m0.001s,0m0.000s
211,1024,0m0.001s,0m0.001s,0m0.000s
212,1024,0m0.001s,0m0.001s,0m0.000s
213,1024,0m0.001s,0m0.001s,0m0.000s
214,1024,0m0.001s,0m0.001s,0m0.000s
215,1024,0m0.001s,0m0.001s,0m0.000s
216,1024,0m0.001s,0m0.001s,0m0.000s
217,1024,0m0.001s,0m0.001s,0m0.000s
218,1024,0m0.001s,0m0.001s,0m0.000s
219,1024,0m0.001s,0m0.001s,0m0.000s
220,1024,0m0.001s,0m0.001s,0m0.000s
221,1024,0m0.001s,0m0.001s,0m0.000s
222,1024,0m0.001s,0m0.001s,0m0.000s
223,1024,0m0.001s,0m0.000s,0m0.001s
224,1024,0m0.001s,0m0.001s,0m0.000s
225,1024,0m0.001s,0m0.001s,0m0.000s
226,1024,0m0.001s,0m0.001s,0m0.000s
227,1024,0m0.001s,0m0.001s,0m0.000s
228,1024,0m0.001s,0m0.001s,0m0.000s
229,1024,0m0.001s,0m0.001s,0m0.000s
230,1024,0m0.001s,0m0.001s,0m0.000s
231,1024,0m0.001s,0m0.000s,0m0.001s
232,1024,0m0.001s,0m0.001s,0m0.000s
233,1024,0m0.001s,0m0.001s,0m0.000s
234,1024,0m0.001s,0m0.001s,0m0.000s
235,1024,0m0.001s,0m0.001s,0m0.000s
236,1024,0m0.001s,0m0.001s,0m0.000s
237,1024,0m0.001s,0m0.000s,0m0.001s
238,1024,0m0.001s,0m0.001s,0m0.000s
239,1024,0m0.001s,0m0.000s,0m0.001s
240,1024,0m0.001s,0m0.001s,0m0.000s
241,1024,0m0.001s,0m0.001s,0m0.000s
242,1024,0m0.001s,0m0.001s,0m0.000s
243,1024,0m0.001s,0m0.001s,0m0.000s
244,1024,0m0.001s,0m0.001s,0m0.000s
245,1024,0m0.001s,0m0.001s,0m0.000s
246,1024,0m0.001s,0m0.001s,0m0.000s
247,1024,0m0.001s,0m0.001s,0m0.000s
248,1024,0m0.001s,0m0.001s,0m0.000s
249,1024,0m0.001s,0m0.001s,0m0.000s
250,1024,0m0.001s,0m0.001s,0m0.000s
251,1024,0m0.001s,0m0.001s,0m0.000s
252,1024,0m0.001s,0m0.001s,0m0.000s
253,1024,0m0.001s,0m0.001s,0m0.000s
254,1024,0m0.001s,0m0.001s,0m0.000s
255,1024,0m0.001s,0m0.001s,0m0.000s
256,1024,0m0.001s,0m0.001s,0m0.000s
257,1024,0m0.001s,0m0.001s,0m0.000s
258,1024,0m0.001s,0m0.001s,0m0.000s
259,1024,0m0.001s,0m0.001s,0m0.000s
260,1024,0m0.001s,0m0.001s,0m0.000s
261,1024,0m0.001s,0m0.001s,0m0.000s
262,1024,0m0.001s,0m0.001s,0m0.000s
263,1024,0m0.001s,0m0.001s,0m0.001s
264,1024,0m0.001s,0m0.001s,0m0.001s
265,1024,0m0.001s,0m0.001s,0m0.000s
266,1024,0m0.001s,0m0.001s,0m0.001s
267,1024,0m0.001s,0m0.001s,0m0.000s
268,1024,0m0.001s,0m0.001s,0m0.000s
269,1024,0m0.001s,0m0.001s,0m0.000s
270,1024,0m0.001s,0m0.000s,0m0.001s
271,1024,0m0.001s,0m0.001s,0m0.000s
272,1024,0m0.001s,0m0.000s,0m0.000s
273,1024,0m0.001s,0m0.001s,0m0.000s
274,1024,0m0.001s,0m0.001s,0m0.000s
275,1024,0m0.000s,0m0.000s,0m0.001s
276,1024,0m0.001s,0m0.001s,0m0.000s
277,1024,0m0.001s,0m0.001s,0m0.000s
278,1024,0m0.001s,0m0.001s,0m0.000s
279,1024,0m0.001s,0m0.000s,0m0.001s
280,1024,0m0.001s,0m0.000s,0m0.000s
281,1024,0m0.001s,0m0.000s,0m0.000s
282,1024,0m0.001s,0m0.001s,0m0.000s
283,1024,0m0.001s,0m0.001s,0m0.000s
284,1024,0m0.001s,0m0.001s,0m0.000s
285,1024,0m0.001s,0m0.000s,0m0.001s
286,1024,0m0.001s,0m0.001s,0m0.000s
287,1024,0m0.001s,0m0.000s,0m0.000s
288,1024,0m0.001s,0m0.001s,0m0.000s
289,1024,0m0.001s,0m0.001s,0m0.000s
290,1024,0m0.001s,0m0.001s,0m0.000s
291,1024,0m0.001s,0m0.001s,0m0.000s
292,1024,0m0.001s,0m0.001s,0m0.000s
293,1024,0m0.001s,0m0.000s,0m0.000s
294,1024,0m0.001s,0m0.001s,0m0.000s
295,1024,0m0.001s,0m0.001s,0m0.000s
296,1024,0m0.001s,0m0.001s,0m0.000s
297,1024,0m0.001s,0m0.001s,0m0.000s
298,1024,0m0.001s,0m0.001s,0m0.000s
299,1024,0m0.001s,0m0.000s,0m0.001s
300,1024,0m0.001s,0m0.001s,0m0.000s
301,1024,0m0.001s,0m0.001s,0m0.000s
302,1024,0m0.001s,0m0.001s,0m0.000s
303,1024,0m0.001s,0m0.001s,0m0.000s
304,1024,0m0.001s,0m0.001s,0m0.000s
305,1024,0m0.001s,0m0.001s,0m0.000s
306,1024,0m0.001s,0m0.001s,0m0.000s
307,1024,0m0.001s,0m0.001s,0m0.000s
308,1024,0m0.001s,0m0.001s,0m0.000s
309,1024,0m0.001s,0m0.001s,0m0.000s
310,1024,0m0.001s,0m0.001s,0m0.000s
311,1024,0m0.001s,0m0.001s,0m0.000s
312,1024,0m0.001s,0m0.000s,0m0.000s
313,1024,0m0.001s,0m0.001s,0m0.000s
314,1024,0m0.001s,0m0.001s,0m0.000s
315,1024,0m0.002s,0m0.001s,0m0.000s
316,1024,0m0.001s,0m0.000s,0m0.000s
317,1024,0m0.001s,0m0.001s,0m0.000s
318,1024,0m0.001s,0m0.000s,0m0.000s
319,1024,0m0.001s,0m0.001s,0m0.000s
320,1024,0m0.001s,0m0.000s,0m0.001s
321,1024,0m0.001s,0m0.001s,0m0.000s
322,1024,0m0.001s,0m0.001s,0m0.000s
323,1024,0m0.001s,0m0.000s,0m0.000s
324,1024,0m0.001s,0m0.001s,0m0.000s
325,1024,0m0.001s,0m0.000s,0m0.000s
326,1024,0m0.001s,0m0.001s,0m0.000s
327,1024,0m0.001s,0m0.001s,0m0.000s
328,1024,0m0.001s,0m0.001s,0m0.000s
329,1024,0m0.001s,0m0.001s,0m0.000s
330,1024,0m0.001s,0m0.001s,0m0.000s
331,1024,0m0.001s,0m0.001s,0m0.000s
332,1024,0m0.001s,0m0.000s,0m0.000s
333,1024,0m0.001s,0m0.000s,0m0.001s
334,1024,0m0.001s,0m0.001s,0m0.000s
335,1024,0m0.001s,0m0.001s,0m0.000s
336,1024,0m0.001s,0m0.001s,0m0.000s
337,1024,0m0.001s,0m0.001s,0m0.000s
338,1024,0m0.001s,0m0.001s,0m0.000s
339,1024,0m0.001s,0m0.001s,0m0.000s
340,1024,0m0.001s,0m0.001s,0m0.000s
341,1024,0m0.001s,0m0.001s,0m0.000s
342,1024,0m0.002s,0m0.000s,0m0.002s
343,1024,0m0.001s,0m0.001s,0m0.000s
344,1024,0m0.001s,0m0.000s,0m0.001s
345,1024,0m0.001s,0m0.001s,0m0.000s
346,1024,0m0.001s,0m0.001s,0m0.000s
347,1024,0m0.001s,0m0.001s,0m0.000s
348,1024,0m0.001s,0m0.001s,0m0.001s
349,1024,0m0.001s,0m0.001s,0m0.000s
350,1024,0m0.001s,0m0.001s,0m0.000s
351,1024,0m0.001s,0m0.001s,0m0.000s
352,1024,0m0.001s,0m0.001s,0m0.000s
353,1024,0m0.001s,0m0.001s,0m0.000s
354,1024,0m0.001s,0m0.000s,0m0.000s
355,1024,0m0.001s,0m0.001s,0m0.000s
356,1024,0m0.001s,0m0.001s,0m0.000s
357,1024,0m0.001s,0m0.001s,0m0.000s
358,1024,0m0.001s,0m0.001s,0m0.000s
359,1024,0m0.001s,0m0.001s,0m0.000s
360,1024,0m0.001s,0m0.001s,0m0.000s
361,1024,0m0.001s,0m0.001s,0m0.000s
362,1024,0m0.001s,0m0.000s,0m0.000s
363,1024,0m0.001s,0m0.001s,0m0.000s
364,1024,0m0.001s,0m0.001s,0m0.000s
365,1024,0m0.001s,0m0.001s,0m0.000s
366,1024,0m0.001s,0m0.001s,0m0.000s
367,1024,0m0.001s,0m0.001s,0m0.000s
368,1024,0m0.001s,0m0.001s,0m0.000s
369,1024,0m0.001s,0m0.001s,0m0.000s
370,1024,0m0.001s,0m0.001s,0m0.000s
371,1024,0m0.001s,0m0.000s,0m0.001s
372,1024,0m0.001s,0m0.001s,0m0.000s
373,1024,0m0.001s,0m0.001s,0m0.000s
374,1024,0m0.001s,0m0.000s,0m0.001s
375,1024,0m0.001s,0m0.000s,0m0.001s
376,1024,0m0.001s,0m0.001s,0m0.000s
377,1024,0m0.001s,0m0.001s,0m0.000s
378,1024,0m0.001s,0m0.001s,0m0.000s
379,1024,0m0.001s,0m0.001s,0m0.000s
380,1024,0m0.001s,0m0.001s,0m0.000s
381,1024,0m0.001s,0m0.001s,0m0.000s
382,1024,0m0.001s,0m0.001s,0m0.000s
383,1024,0m0.001s,0m0.001s,0m0.000s
384,1024,0m0.001s,0m0.001s,0m0.000s
385,1024,0m0.002s,0m0.000s,0m0.002s
386,1024,0m0.001s,0m0.001s,0m0.000s
387,1024,0m0.001s,0m0.001s,0m0.000s
388,1024,0m0.001s,0m0.001s,0m0.000s
389,1024,0m0.001s,0m0.001s,0m0.000s
390,1024,0m0.001s,0m0.001s,0m0.000s
391,1024,0m0.001s,0m0.001s,0m0.000s
392,1024,0m0.001s,0m0.001s,0m0.000s
393,1024,0m0.001s,0m0.001s,0m0.000s
394,1024,0m0.001s,0m0.000s,0m0.000s
395,1024,0m0.001s,0m0.001s,0m0.000s
396,1024,0m0.001s,0m0.001s,0m0.000s
397,1024,0m0.001s,0m0.001s,0m0.000s
398,1024,0m0.001s,0m0.001s,0m0.000s
399,1024,0m0.001s,0m0.001s,0m0.000s
400,1024,0m0.001s,0m0.001s,0m0.000s
401,1024,0m0.001s,0m0.001s,0m0.000s
